"id","userId","timestamp","keyPressed","isCheating","riskScore","typingPattern","typingSpeed"
"105","9","2025-03-16 08:55:33.735","Backspace",,,,
"106","10","2025-03-16 08:55:34.902","e",,,,
"107","9","2025-03-16 08:55:33.764","Backspace",,,,
"108","9","2025-03-16 08:55:33.615","Backspace",,,,
"109","9","2025-03-16 08:55:33.656","d",,,,
"110","9","2025-03-16 08:55:33.657","Backspace",,,,
"111","10","2025-03-16 08:55:35.026","d",,,,
"112","9","2025-03-16 08:55:33.675","Backspace",,,,
"113","9","2025-03-16 08:55:33.696","Backspace",,,,
"114","9","2025-03-16 08:55:33.966","Backspace",,,,
"115","9","2025-03-16 08:55:34.039","k",,,,
"116","9","2025-03-16 08:55:33.8","Backspace",,,,
"117","9","2025-03-16 08:55:34.082","h",,,,
"118","9","2025-03-16 08:55:33.846","a",,,,
"119","9","2025-03-16 08:55:33.889","j",,,,
"120","9","2025-03-16 08:55:33.902","Backspace",,,,
"121","9","2025-03-16 08:55:33.906","Backspace",,,,
"122","9","2025-03-16 08:55:33.847","Backspace",,,,
"123","9","2025-03-16 08:55:33.907","s",,,,
"124","9","2025-03-16 08:55:33.931","d",,,,
"125","9","2025-03-16 08:55:36.211","Shift",,,,
"126","9","2025-03-16 08:55:36.555","I",,,,
"127","9","2025-03-16 08:55:36.704"," ",,,,
"128","9","2025-03-16 08:55:36.85","d",,,,
"129","9","2025-03-16 08:55:36.909","o",,,,
"130","9","2025-03-16 08:55:37.085","n",,,,
"131","9","2025-03-16 08:55:37.14","t",,,,
"132","9","2025-03-16 08:55:37.247"," ",,,,
"133","9","2025-03-16 08:55:37.978","k",,,,
"134","9","2025-03-16 08:55:38.133","n",,,,
"135","9","2025-03-16 08:55:38.295","o",,,,
"136","9","2025-03-16 08:55:38.416","w",,,,
"137","9","2025-03-16 08:55:38.519"," ",,,,
"138","9","2025-03-16 08:55:39.084","t",,,,
"139","9","2025-03-16 08:55:39.44","w",,,,
"140","9","2025-03-16 08:55:39.555","o",,,,
"141","9","2025-03-16 08:55:39.683"," ",,,,
"142","9","2025-03-16 08:55:39.894","s",,,,
"143","9","2025-03-16 08:55:40.056","u",,,,
"144","9","2025-03-16 08:55:40.258","m",,,,
"145","10","2025-03-16 08:55:54.786","o",,,,
"146","10","2025-03-16 08:55:54.873","k",,,,
"147","10","2025-03-16 08:55:55.018"," ",,,,
"148","10","2025-03-16 08:55:55.786","d",,,,
"149","10","2025-03-16 08:55:55.909","o",,,,
"150","10","2025-03-16 08:55:55.915","i",,,,
"151","10","2025-03-16 08:55:56.307","n",,,,
"152","10","2025-03-16 08:55:56.676","e",,,,
"153","10","2025-03-16 08:56:01.334","d",,,,
"154","10","2025-03-16 08:56:01.495","a",,,,
"155","10","2025-03-16 08:56:01.326","a",,,,
"156","10","2025-03-16 08:56:01.59","d",,,,
"157","10","2025-03-16 08:56:01.701","a",,,,
"158","10","2025-03-16 08:56:01.805","d",,,,
"159","10","2025-03-16 08:56:01.911","a",,,,
"160","10","2025-03-16 08:56:02.015","d",,,,
"161","10","2025-03-16 08:56:02.235","d",,,,
"162","10","2025-03-16 08:56:02.243","a",,,,
"163","10","2025-03-16 08:56:02.491","a",,,,
"164","10","2025-03-16 08:56:02.537","d",,,,
"165","10","2025-03-16 08:57:42.661","Alt",,,,
"166","10","2025-03-16 09:15:13.372","Alt",,,,
"167","10","2025-03-16 09:26:11.301","Alt",,,,
"168","10","2025-03-16 09:27:22.734","s",,,,
"169","10","2025-03-16 09:27:22.853","a",,,,
"170","10","2025-03-16 09:27:23.218","m",,,,
"171","10","2025-03-16 09:27:23.432","p",,,,
"172","10","2025-03-16 09:27:23.82"," ",,,,
"173","10","2025-03-16 09:27:23.646","l",,,,
"174","10","2025-03-16 09:27:23.768","e",,,,
"175","10","2025-03-16 09:27:24.02","c",,,,
"176","10","2025-03-16 09:27:24.284","d",,,,
"177","10","2025-03-16 09:27:24.477","e",,,,
"178","10","2025-03-16 09:27:24.37","o",,,,
"179","10","2025-03-16 09:27:26.564","Shift",,,,
"180","10","2025-03-16 09:27:26.924","Enter",,,,
"181","10","2025-03-16 09:27:28.79","t",,,,
"182","10","2025-03-16 09:27:28.917","h",,,,
